f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
8.717731999999999744e+02,5.064846451078377498e+00,7.219634874316906803e+01,-2.566038897509195138e+01,-5.002560189475716612e+01,-2.523368577153206971e+01,-5.052015307571254255e+01,1.263096412669550546e+02,-3.263666456650289405e+01
8.722073500000000195e+02,5.134827613578144323e+00,7.216963222856897175e+01,-2.599093326036565443e+01,-4.967197728160210346e+01,-2.555428823510471759e+01,-5.019331506807692733e+01,1.278975527508944623e+02,-3.438329535947373472e+01
8.726414999999999509e+02,5.202959085081014123e+00,7.213827873984070038e+01,-2.631058888337582147e+01,-4.929490523405194580e+01,-2.586610604682151404e+01,-4.984437943938613813e+01,1.294312036816227760e+02,-3.624402148399543933e+01
8.730756499999999960e+02,5.268870690797249345e+00,7.210224619943437574e+01,-2.661740314888520231e+01,-4.889433037788420933e+01,-2.616735444556317347e+01,-4.947314063210450286e+01,1.309010738382125112e+02,-3.821903057995615427e+01
8.735098000000000411e+02,5.332171703120670792e+00,7.206152359698170073e+01,-2.690933219292920597e+01,-4.847037021371126286e+01,-2.645614911169893801e+01,-4.907954444491581825e+01,1.322972052632034377e+02,-4.030766441255005361e+01
8.739439499999999725e+02,5.392453273536953695e+00,7.201613502669346190e+01,-2.718425583015380909e+01,-4.802333485665329249e+01,-2.673051813683159850e+01,-4.866370764553956718e+01,1.336092753352190527e+02,-4.250832318817122513e+01
8.743781000000000176e+02,5.449291582536319289e+00,7.196614363536264136e+01,-2.743999609576367149e+01,-4.755374592186809934e+01,-2.698841749139441504e+01,-4.822593712297478419e+01,1.348266878232614658e+02,-4.481837416536780694e+01
8.748122499999999491e+02,5.502251742421696790e+00,7.191165535478683069e+01,-2.767433959561573076e+01,-4.706235387908704126e+01,-2.722775015571973256e+01,-4.776674796270991408e+01,1.359386824521036772e+02,-4.723406786490032516e+01
8.752463999999999942e+02,5.550892465966545508e+00,7.185282227612118788e+01,-2.788506365473709181e+01,-4.655015312619015333e+01,-2.744638897264389854e+01,-4.728687974971720109e+01,1.369344629046027819e+02,-4.975046553504405011e+01
8.756805500000000393e+02,5.594771486531445071e+00,7.178984551095543054e+01,-2.806996610507772871e+01,-4.601839398040274176e+01,-2.764220314595309347e+01,-4.678731034304548331e+01,1.378033424562195535e+02,-5.236138177374716207e+01
8.761146999999999707e+02,5.633451682971863050e+00,7.172297737644812798e+01,-2.822689838095281800e+01,-4.546859076430005331e+01,-2.781308815133597889e+01,-4.626926633059028404e+01,1.385349055959085547e+02,-5.505934630742817859e+01
8.765488500000000158e+02,5.666507826410835946e+00,7.165252274131114518e+01,-2.835380140127976034e+01,-4.490252518068767529e+01,-2.795699864971076565e+01,-4.573422937129831212e+01,1.391191830649854353e+02,-5.783558883711302201e+01
8.769829999999999472e+02,5.693533827229408928e+00,7.157883937735971358e+01,-2.844874352012813290e+01,-4.432224423274058722e+01,-2.807198380430328299e+01,-4.518393767206623579e+01,1.395468367844677289e+02,-6.068005055171886397e+01
8.774171499999999924e+02,5.714150321523100651e+00,7.150233717891542540e+01,-2.850995963273179612e+01,-4.373005205864599532e+01,-2.815622421281446464e+01,-4.462038193367430949e+01,1.398093501977648145e+02,-6.358142535108491700e+01
8.778513000000000375e+02,5.728012399326131820e+00,7.142347614025592861e+01,-2.853589034663286839e+01,-4.312849521554230847e+01,-2.820806948689677895e+01,-4.404579523746308212e+01,1.398992186962199185e+02,-6.652723300787431526e+01
8.782854499999999689e+02,5.734817245031212707e+00,7.134276301947316767e+01,-2.852521998215028987e+01,-4.252034116387864771e+01,-2.822607535711668092e+01,-4.346263653170732510e+01,1.398101340934684913e+02,-6.950392543753237362e+01
8.787196000000000140e+02,5.734311436648074967e+00,7.126074666462952223e+01,-2.847691206814938170e+01,-4.190854996402855193e+01,-2.820903906732002753e+01,-4.287356760919908538e+01,1.395371566450470198e+02,-7.249702597088830203e+01
8.791537499999999454e+02,5.726297637720271894e+00,7.117801203309102220e+01,-2.839024096209044856e+01,-4.129623949068300703e+01,-2.815603176177069145e+01,-4.228142373612407567e+01,1.390768679398037477e+02,-7.549130009077077830e+01
8.795878999999999905e+02,5.710640416252036111e+00,7.109517299457040451e+01,-2.826481825848532026e+01,-4.068664478128665962e+01,-2.806642657315673972e+01,-4.168917838312963653e+01,1.384274981721677591e+02,-7.847095458024763559e+01
